release_id, label_id
11,10
35,32
62,51
81,64
90,308269
110,43
139,46
157,23528
168,4
186,88
203,111
222,123
244,133
276,105
293,110
307,154
323,174
329,170
341,110
363,191
375,204
386,110
404,284155
414,4711
429,95
437,95
441,95
467,218
496,54
518,14
545,244
570,14
595,227
606,235
621,233
630,233
640,233
654,109
660,160
675,223
686,268
697,14
710,97
724,59
745,59
775,59
789,59
820,259
845,292
856,292
882,269
895,229
922,229
933,229
975,276
989,322
1026,73
1078,244
1089,244
1115,274
1147,211
1181,271
1193,271
1214,1792
1249,284155
1272,284155
1276,2
1291,367
1354,23528
1361,60
1401,314
1414,218
1434,115
1455,423
1466,1559
1488,438
1502,211
1520,314
1565,445
1591,314
1608,464
1643,314
1667,235
1681,471
1688,415
1700,23528
1727,188
1736,133
1773,498
1806,419
1842,314
1867,235
1916,545
1927,105
1936,145
1946,207240
1950,424905
1969,365147
1983,467
2001,96
