id,gid,recording,medium,position,number,name,artist_credit,length,edits_pending,last_updated ,is_data_track
478,62a3d399-42ff-3e73-a3dd-c31fcf5bdb72,453,10981,1,1,To Bring You My Love,9044,333893,0,2011-05-16 16:08:20.288158+00,f
488,b907ec62-c74a-3193-997d-a36fa77a0051,453,551731,1,1,To Bring You My Love,9044,333893,0,2011-05-16 16:08:20.288158+00,f
468,db558bbd-bb85-3754-bee9-059d2a29dd4d,453,1132765,1,1,To Bring You My Love,9044,333893,0,2011-05-16 16:08:20.288158+00,f
448,d9cd9aa5-eac2-311b-9cfc-ebb13c54b9c4,453,1239387,1,1,To Bring You My Love,9044,333893,0,2011-05-16 16:08:20.288158+00,f
502,1dd00add-ca11-30cc-a763-826e8c13197e,503,181909,5,5,Homewrecker,68,263440,0,2011-05-16 16:08:20.288158+00,f
506,2c1e2a2d-d4bd-33cc-a75a-5a812a2e41cd,505,181909,9,9,The First Morning,68,197693,0,2011-05-16 16:08:20.288158+00,f
508,7694e7f6-dafa-3762-95a8-eeec390e316b,507,181909,11,11,To Keep You Trained,68,274306,0,2011-05-16 16:08:20.288158+00,f
16555384,a071645e-facc-41c3-8021-6c401007334e,16181285,1485657,1,1,Into Infinity,161643,213289,0,2014-05-14 18:04:13.12791+00,f
16555385,550bccbe-b883-4628-8de0-4abbcae2dfd8,16181286,1485657,2,2,A Man of Dreams,161643,217965,0,2014-05-14 18:04:13.12791+00,f
16555386,e71805de-6d59-4794-a3ae-e1deea371e41,16181287,1485657,3,3,Deadly Desires,161643,220813,0,2014-05-14 18:04:13.12791+00,f
558,e14509d2-5c9d-32c1-8a78-46a21b0caf2c,584,4,11,11,Playboy Mommy,60,248933,0,2011-05-16 16:08:20.288158+00,f
582,a63ad253-0dfc-3ad6-9d57-04bdad58a84a,584,230,11,11,Playboy Mommy,60,248933,0,2011-05-16 16:08:20.288158+00,f
570,21343c66-0ff2-380f-8e1d-96cfb14d1aae,584,3407,11,11,Playboy Mommy,60,248933,0,2011-05-16 16:08:20.288158+00,f
594,17fee28f-c2e9-36b4-9cf6-d136d6e841d4,584,464175,11,11,Playboy Mommy,60,248933,0,2011-05-16 16:08:20.288158+00,f
548,1fd4bc0d-5759-38b0-8822-e42e2a36e58a,587,4,1,1,Spark,60,253573,0,2011-05-16 16:08:20.288158+00,f
572,4ea0590a-8ab6-31fe-ae95-aac4c0465050,587,230,1,1,Spark,60,253573,0,2011-05-16 16:08:20.288158+00,f
560,9af5005d-a24e-3ffb-8b26-435895645d9b,587,3407,1,1,Spark,60,253573,0,2011-05-16 16:08:20.288158+00,f
