id,name,artist_count,ref_count,created
1021751,Ray Davies feat. Jon Bon Jovi & Richie Sambora,3,2,2012-07-22 07:28:20.154295+00
769432,Iry Le Jeunne,1,2,2011-05-16 16:32:11.963929+00
688447,Los q no se enteran,1,30,2011-05-16 16:32:11.963929+00
977716,The Acorn & Jamie Bunton,2,2,2012-04-30 20:03:45.347946+00
1024774,Luka Nižetić & Klapa Nostalgija,2,4,2012-07-27 12:29:26.902995+00
1048323,Tora! Tora Tora!,1,2,2012-09-10 10:30:28.097846+00
863297,"Joshua Bell feat. Edgar Meyer, Sam Bush and Mike Marshall",4,3,2011-09-30 05:02:55.858394+00
64090,The Newly Deads,1,2,2011-05-16 16:32:11.963929+00
483640,Adam Václav Michna z Otradovic,1,104,2011-05-16 16:32:11.963929+00
829830,BLASPHEMY RITES,1,32,2011-06-15 09:15:53.522476+00
1078103,"Cecilia Eng, Andrew Nesbitt",2,2,2012-11-10 16:49:19.066283+00
1113065,Ranking Levy,1,3,2013-01-16 19:38:53.528476+00
