id,label,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
6443,25739,Spaceman Records,\N,0,2012-06-11 15:00:25.146697+00,2,Spaceman Records,\N,\N,\N,\N,\N,\N,f,f
6501,68171,Do It!-Records,\N,0,2012-06-11 15:51:06.539462+00,1,Do It!-Records,\N,\N,\N,\N,\N,\N,f,f
6502,129,Cleopatra,\N,0,2012-06-12 08:08:34.103149+00,\N,Cleopatra,\N,\N,\N,\N,\N,\N,f,f
5804,61684,Remix,lv,0,2012-06-12 10:12:49.001008+00,\N,Remix,\N,\N,\N,\N,\N,\N,t,f
5365,28685,Rise Rochechouart Music,fr,0,2012-06-12 10:12:49.001008+00,\N,Rise Rochechouart Music,\N,\N,\N,\N,\N,\N,t,f
5398,1096,UBL Music,en_US,0,2012-06-12 10:12:49.001008+00,\N,UBL Music,\N,\N,\N,\N,\N,\N,t,f
7118,72433,Hexenhammer,\N,0,2013-01-03 21:16:55.182462+00,\N,Hexenhammer,\N,\N,\N,\N,\N,\N,f,f
5459,58720,ARABELLA MUSIC EDITION MUENCHEN,de_DE,0,2012-06-12 10:12:49.001008+00,\N,ARABELLA MUSIC EDITION MUENCHEN,\N,\N,\N,\N,\N,\N,t,f
5484,59062,Melosmusik,de_DE,0,2012-06-12 10:12:49.001008+00,\N,Melosmusik,\N,\N,\N,\N,\N,\N,t,f
5463,58843,Firstborn Records,en,0,2012-06-12 10:12:49.001008+00,\N,Firstborn Records,\N,\N,\N,\N,\N,\N,t,f
5602,59915,"The Right Stuf, Inc.",en_US,0,2012-06-12 10:12:49.001008+00,\N,"The Right Stuf, Inc.",\N,\N,\N,\N,\N,\N,t,f
5573,8967,EA,en_US,0,2012-06-12 10:12:49.001008+00,\N,EA,\N,\N,\N,\N,\N,\N,t,f
5724,61228,Estonian Ministry of Culture,en,0,2012-06-12 10:12:49.001008+00,\N,Estonian Ministry of Culture,\N,\N,\N,\N,\N,\N,t,f
5713,61013,炫音,zh,0,2012-06-12 10:12:49.001008+00,\N,炫音,\N,\N,\N,\N,\N,\N,t,f
19591,42808,아메바 컬쳐,ko,0,2015-05-19 00:51:36.968903+00,1,아메바 컬쳐,\N,\N,\N,\N,\N,\N,t,f
7117,73424,Deadlamb Records,\N,0,2013-01-03 19:50:02.103889+00,\N,Deadlamb Records,\N,\N,\N,\N,\N,\N,f,f
7119,1724,Naïve Records,\N,0,2013-01-03 21:17:06.837001+00,\N,Naïve Records,\N,\N,\N,\N,\N,\N,f,f
7120,59068,Detox,\N,0,2013-01-03 21:19:15.396096+00,\N,Detox,\N,\N,\N,\N,\N,\N,f,f
7122,47127,Celestial Dragon Records,\N,0,2013-01-18 20:01:40.26896+00,2,Celestial Dragon Records,\N,\N,\N,\N,\N,\N,f,f
