id,name,parent,child_order,description,gid
2,Female,\N,2,\N,93452b5a-a947-30c8-934f-6a4056b151c2
3,Other,\N,3,\N,081c0bf5-da60-37b0-95f8-2207a3f7f9d6
1,Male,\N,1,\N,36d3d30a-839d-3eda-8cb3-29be4384e4a9
