id,name,parent,child_order,description,gid
1,Automatic,\N,0,"Sorts the items in the series automatically by their number attributes, using a natural sort order.",ec5fa247-c37a-39b3-b31d-bdac6207344e
2,Manual,\N,1,Allows for manually setting the position of each item in the series.,2950ba43-3532-39e9-a7d1-7dc7e271fa25
