id,gid,name,type,address,area,coordinates,comment,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended
2750,16a240e0-70df-40cd-89c2-901151e50134,Popcorn Tavern,2,308 4th Street South,23416,"(43.810678,-91.251962)",,0,2013-11-20 23:03:57.440323+00,\N,\N,\N,\N,\N,\N,f
828,506f7fca-a300-4826-af0f-3d7787e0073e,赤坂BLITZ,2,東京都港区赤坂5-3-2 赤坂サカス内,8404,"(35.6725,139.73528)",,0,2013-10-25 19:00:16.549893+00,1996,4,\N,\N,\N,\N,f
3530,306f5d04-2baa-4d89-8d7f-07d394050396,SWR-Studio Freiburg,1,"Kartäuserstraße 45, 79102 Freiburg, Deutschland",9403,"(47.9919,7.86016)",,0,2014-01-06 23:56:05.682311+00,\N,\N,\N,\N,\N,\N,f
1169,8fab4364-5457-400a-a22e-9c4de044eae3,Music Hall Worpswede,2,"Findorffstraße 21, 27726 Worpswede",72161,"(53.222991,8.924983)",,0,2013-11-15 08:03:40.979004+00,\N,\N,\N,\N,\N,\N,f
1209,08731ce9-6dcd-4338-b19e-4ae71e3cd41c,Aurora Studio,1,13 Hoxton Market,1178,"(51.527342,-0.082447)",,0,2013-10-20 13:33:15.423708+00,\N,\N,\N,\N,\N,\N,f
1257,358a9d29-8d63-4ad5-ad96-392ac45a9971,Sendesaal Bremen,2,"Bürgermeister‐Spitta‐Allee 45, 28329 Bremen",23698,"(53.083889,8.872778)",,0,2013-10-20 22:17:47.719494+00,2009,\N,\N,\N,\N,\N,f
1165,4a82f57b-cc34-47bb-9628-daa43ceef45a,Royal Festival Hall,2,"Belvedere Road, London SE1 8XX",1178,"(51.505884,-0.116811)",Southbank Centre,0,2013-10-19 15:46:05.819985+00,1951,\N,\N,\N,\N,\N,f
5524,7aaf7a97-41d3-430f-a3ac-80507a8e3d4c,AudioGraphic Masterworks,\N,"3015 Brother Boulevard, Memphis, TN, 38133",7729,\N,,0,2014-05-15 02:16:31.546828+00,1997,\N,\N,\N,\N,\N,f
1406,1d3dac2a-b92d-4620-aafd-d7ae2ecf290e,Lapuan tuomiokirkko,6,"Kosolankatu 3, FI-62100 Lapua, Finland",23660,"(62.966944,23.005)",,0,2015-02-04 11:08:12.089294+00,1827,\N,\N,\N,\N,\N,f
1299,f307bbe6-50aa-495a-b80d-9ee8fa53772a,Estudios de producción propia Radio Galega,1,"San Marcos, s/n 15820 Santiago de Compostela, A Coruña, España",5184,"(42.892893,-8.470264)",,0,2013-10-21 20:22:58.793792+00,\N,\N,\N,\N,\N,\N,f
1201,86e9ed1f-dfae-4307-bff4-9f4a943165a1,Sound Team Studios,1,"Kelokuja 1, FI-02400 Kirkkonummi, Finland",33879,"(60.06051,24.424763)",,0,2013-11-08 19:29:53.142736+00,\N,\N,\N,\N,\N,\N,f
2776,f965baff-c3dd-47b0-9bb6-92acacbaabeb,Carnival Sunshine,3,,10422,\N,,0,2013-11-21 13:21:36.61239+00,\N,\N,\N,\N,\N,\N,f
1160,ead2881b-e5ef-4aab-a47a-599cc101c928,New Broadcasting House,1,"Oxford Road, Manchester M60 1SJ, United Kingdom",3925,"(53.47312,-2.23925)",,0,2013-11-09 14:00:23.773249+00,1975,\N,\N,2012,\N,\N,t
1305,2891c586-b296-4d0b-8e24-b445b10723a9,Auditorium Parco della Musica,2,"Viale Pietro De Coubertin, 30, 00196",5060,"(41.929075,12.474557)",,0,2013-10-21 21:39:09.368338+00,2002,\N,\N,\N,\N,\N,f
1238,39debf60-a32a-4a39-9b4e-9e8487b396aa,Michael Fowler Centre,2,"111 Wakefield St, Wellington, 6011",4879,"(-41.289421,174.778053)",,0,2013-10-20 20:10:05.916623+00,1983,\N,\N,\N,\N,\N,f
11378,89272ec8-1a04-43fa-9151-525c1b17d3f5,Joseph James Pictures,\N,,68702,\N,,0,2015-05-26 08:01:40.22723+00,2007,\N,\N,\N,\N,\N,f
1373,17420b67-d53c-47b8-a9f5-6ef6477c6132,Koncertna dvorana Vatroslava Lisinskog,2,Trg Stjepana Radića 4. Lower Town,1872,"(45.801111,15.980278)",,0,2013-11-03 23:00:17.198136+00,1973,\N,\N,\N,\N,\N,f
1369,07ddb67a-ecea-47bd-8f64-59f15f867152,Theater „Die Wühlmäuse“,2,"Pommernallee 2–4, 14052 Berlin",326,"(52.508889,13.270833)",,0,2013-10-23 10:45:16.087614+00,\N,\N,\N,\N,\N,\N,f
844,3b3c2ec7-3433-4f7a-8c75-30a91915cc43,DRUM Be-1,\N,福岡県福岡市中央区舞鶴1-8-29,11884,"(33.593113,130.394376)",,0,2013-10-29 04:32:46.735538+00,\N,\N,\N,\N,\N,\N,f
1403,433471e2-8165-4aba-a731-af66cc9d8b0a,Münchner Lach- und Schießgesellschaft,2,"Ursulastraße 9, 80802 München",7710,"(48.161848,11.590894)",,0,2013-10-24 10:12:27.739299+00,\N,\N,\N,\N,\N,\N,f
833,b40a4f68-5d3f-4b0b-a1fa-bae563079ba2,Tartu Ülikooli aula,2,"Ülikooli 18, 51005",5180,"(58.38112,26.720335)",,0,2013-10-17 15:47:55.934687+00,\N,\N,\N,\N,\N,\N,f
5722,d3976223-5772-473a-bd28-bd0b888c381e,Ultimo Studio,1,,7703,\N,,0,2014-05-27 09:02:54.95338+00,\N,\N,\N,\N,\N,\N,f
11546,0264a336-73bc-4905-b1f1-a4bc2b2cf468,Moondog Studios,1,,104724,\N,,0,2015-05-30 16:29:41.517889+00,\N,\N,\N,\N,\N,\N,f
1222,ea154353-61d5-43d1-8573-64af877e33e2,Kulttuuritalo KIVA,2,"Horninkatu 21, FI-24100 Salo, Finland",9576,"(60.38725,23.129588)",,0,2013-11-08 19:16:34.623375+00,2005,\N,\N,\N,\N,\N,f
1348,d3f350b9-2270-47ed-beef-a991a7656a4d,Kuhmo-talo: Lentua-sali,2,"Koulukatu 1, FI-88900 Kuhmo, Finland",34455,"(64.130103,29.520069)",,0,2013-11-08 19:15:59.414371+00,1993,\N,\N,\N,\N,\N,f
5746,f3148afa-0507-47b2-96f4-c05699790beb,Toomi Labs,1,,7278,\N,,0,2014-05-28 18:31:45.269797+00,\N,\N,\N,\N,\N,\N,f
849,3b5a8fa4-5d26-4890-930a-42132dcf7f3c,HEAVEN'S ROCK 宇都宮 VJ-2,\N,栃木県宇都宮市宮園町5-33 東武宇都宮ビルB1,5549,"(36.559129,139.87985)",,0,2013-10-18 17:47:20.654435+00,\N,\N,\N,\N,\N,\N,f
11583,12cf5845-80c3-4d07-ac5e-ad4bdce12fa5,Paparazzi Studios,1,Artamis,23036,\N,,0,2015-06-02 04:15:21.401458+00,\N,\N,\N,\N,\N,\N,f
5753,522c8dfd-671b-4a5a-8b78-1b9f90f0c3f7,Epos,\N,,\N,\N,,0,2014-05-29 10:57:34.024532+00,\N,\N,\N,\N,\N,\N,f
840,03c63e59-aa9e-4820-aa29-31d1b478aeef,Turun konserttitalo,2,"Aninkaistenkatu 9, FI-20100 Turku, Finland",9582,"(60.455556,22.270556)",,0,2013-11-08 19:06:14.119339+00,1952,\N,\N,\N,\N,\N,f
845,332a5ac0-cd4d-48f2-8981-0317aff92ed8,ell.FITS ALL,2,愛知県名古屋市中区大須2-10-43,11760,"(35.161014,136.898668)",,0,2013-10-23 21:40:45.068353+00,2000,\N,\N,\N,\N,\N,f
841,a1728bb1-d23e-406c-b5eb-3feaea7adad2,club KNOT,\N,愛知県豊橋市駅前大通1丁目7-1,10928,"(34.76376,137.38418)",,0,2013-10-18 16:10:10.40035+00,\N,\N,\N,\N,\N,\N,f
1423,9e20a93f-4058-4912-9d1a-557f407b7e3a,Beat Street,1,,\N,\N,,0,2013-10-24 19:17:56.020933+00,\N,\N,\N,\N,\N,\N,f
843,4e25c960-584e-4f0d-98c5-2e5ea2d929c1,cube garden,\N,北海道札幌市中央区 北2条東3丁目2-5,11712,"(43.065039,141.360129)",,0,2013-10-29 07:40:13.663731+00,\N,\N,\N,\N,\N,\N,f
