id,instrument,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
5431,684,喇叭,ko,0,2015-02-13 18:51:29.889489+00,1,喇叭,\N,\N,\N,\N,\N,\N,f,f
109,224,馬頭琴,zh_Hant,0,2014-05-26 02:24:39.746988+00,1,馬頭琴,\N,\N,\N,\N,\N,\N,t,f
385,551,大鑼,zh_Hant,0,2014-05-26 02:27:34.845091+00,1,大鑼,\N,\N,\N,\N,\N,\N,t,f
611,655,بزق,ar,0,2014-08-03 13:51:06.422135+00,\N,بزق,\N,\N,\N,\N,\N,\N,t,f
638,287,kim,\N,0,2014-08-04 17:41:52.096786+00,2,kim,\N,\N,\N,\N,\N,\N,f,f
5731,821,su',\N,0,2017-01-02 21:22:48.421868+00,\N,su',\N,\N,\N,\N,\N,\N,f,f
662,467,تار,fa,0,2014-08-20 11:35:33.955506+00,1,تار,\N,\N,\N,\N,\N,\N,t,f
649,672,glong songna,\N,0,2014-08-04 23:17:36.749576+00,2,glong songna,\N,\N,\N,\N,\N,\N,f,f
891,177,Gitarre,de,0,2014-08-20 17:12:34.247237+00,1,Gitarre,\N,\N,\N,\N,\N,\N,t,f
664,516,17-saitiges Koto,de,0,2014-08-20 16:37:27.007575+00,1,17-saitiges Koto,\N,\N,\N,\N,\N,\N,t,f
771,360,Knopfgriffakkordeon,de,0,2014-08-20 16:54:13.998958+00,1,Knopfgriffakkordeon,\N,\N,\N,\N,\N,\N,t,f
676,356,Deutsche Harfe,de,0,2014-08-20 16:39:22.723809+00,1,Deutsche Harfe,\N,\N,\N,\N,\N,\N,t,f
679,603,Festplatte,de,0,2014-08-20 16:39:57.355121+00,1,Festplatte,\N,\N,\N,\N,\N,\N,t,f
691,476,Saraswati Vina,de,0,2014-08-20 16:41:51.30323+00,1,Saraswati Vina,\N,\N,\N,\N,\N,\N,t,f
783,466,Charango,de,0,2014-08-20 16:55:58.58775+00,1,Charango,\N,\N,\N,\N,\N,\N,t,f
700,468,Wurlitzer Electric Piano,de,0,2014-08-20 16:43:16.485911+00,1,Wurlitzer Electric Piano,\N,\N,\N,\N,\N,\N,t,f
701,563,Xaphoon,de,0,2014-08-20 16:43:25.129608+00,1,Xaphoon,\N,\N,\N,\N,\N,\N,t,f
999,401,Piccolotrompete,de,0,2014-08-20 17:29:12.97913+00,1,Piccolotrompete,\N,\N,\N,\N,\N,\N,t,f
714,363,Amadinda,de,0,2014-08-20 16:45:30.153183+00,1,Amadinda,\N,\N,\N,\N,\N,\N,t,f
