gid,new_id,created
adc0e5a8-4303-4a7c-a09a-7269b39a4555,1813,2013-05-22 15:00:19.94759+00
f1443c80-96e8-4bbf-a182-ed4160945a48,1812,2013-05-22 15:00:20.697404+00
e93c3400-785f-4485-a3d2-c90d625b1404,1821,2013-05-22 15:00:21.218773+00
9c4a63cc-7406-40b1-ab59-a6f8fd10a602,4333,2013-05-22 15:00:21.74276+00
001448da-e499-437d-98a1-1805eb0a0528,1823,2013-05-22 15:00:22.257025+00
48b301d4-51e9-4a1a-bc1a-638fbbc0df40,4337,2013-05-22 15:00:22.788638+00
4dbdcc7a-a79d-4cde-8029-d0bce4356e4f,1825,2013-05-22 15:00:23.280081+00
25ebb418-2bcf-40d0-9018-f2853805c93b,4545,2013-05-23 23:04:00.885833+00
309bf480-655b-4f46-bea2-d1ed675462ac,1874,2013-05-23 23:04:01.520484+00
79fd0358-e0bc-457e-b1f4-9958eb4d46f8,6925,2013-05-25 19:00:47.835579+00
1e1ecdef-16f8-4181-b534-db2fb9b54e87,7326,2013-05-28 17:00:23.530426+00
7bc3a2e9-261d-45d5-8b69-f4f4b7c7b22b,9283,2013-06-08 08:02:45.427868+00
91223aab-63a9-4e59-9962-9a6a102586a2,10760,2013-06-20 00:00:31.319385+00
a5cb0f2b-ee1e-4242-bde1-e25a52c54697,10553,2013-06-20 00:00:31.802953+00
36b42139-4bb4-4f05-a318-5cef6d1b9b36,10648,2013-06-22 00:00:23.298715+00
ab9eb8cc-fa49-4c9b-a20a-d2f5924f61e9,10192,2013-06-22 00:00:23.713772+00
ece67c09-90c7-463b-b7a4-27dfa78714c4,10545,2013-06-22 00:00:23.939947+00
5709eafb-b4af-4589-bab6-95ed561447b1,10385,2013-06-22 00:00:24.156441+00
86f33eee-8250-4c93-938c-fdb0e3b5e93e,10124,2013-06-28 23:00:21.242688+00
715fe45e-9a66-4531-bf98-f8a84891427c,11703,2013-06-30 10:01:35.278958+00
95863494-c4ca-40a2-a0ab-7ddec6c5e8f5,9621,2013-07-05 08:00:41.625349+00
ea2eee59-43f5-4f1f-96ff-002e89f3c337,9621,2013-07-16 04:00:24.018185+00
ece188f0-3f22-4889-bd47-22d73449c477,14092,2013-07-22 13:00:58.872133+00
4e085245-70e7-4409-b207-bc9ee9cd1207,20085,2013-07-22 13:01:26.943054+00
ec53dd6a-2a7c-4495-99d9-16d17897f0e3,17629,2013-07-22 13:01:27.204106+00
b0379f73-f9d7-4f38-bddd-10cbf4ab394f,16206,2013-07-22 13:01:27.673787+00
29cf599c-dea1-497a-a91c-b7dacd25cd85,17689,2013-07-22 13:01:28.058857+00
f12d1fcc-71c5-435b-9b4d-47d564026cc9,16166,2013-07-22 13:01:28.35223+00
a093d56e-e370-4c6e-9da3-9c4a8205a450,16245,2013-07-22 13:01:28.827152+00
07f4d3fa-bc1a-4c99-be88-9a81696ceb9c,18935,2013-07-22 13:01:29.314692+00
bfd8faf8-6fcc-464d-b4de-a16c7a568186,15207,2013-07-22 13:01:29.819098+00
4dd0d2a0-a107-4bad-b9be-4ad64bccd6c0,16466,2013-07-22 13:01:30.350604+00
8b35f85d-dd94-4a08-8dc7-a156b40471a8,17925,2013-07-22 13:01:30.668903+00
1dc92601-570b-41c4-88da-7071c48e9a83,19338,2013-07-22 13:01:30.917749+00
e5d43a4e-7271-4787-9336-b365cf4ca112,20088,2013-07-22 13:01:31.273498+00
15e21cc1-8352-455e-87cf-95dbea590bbf,20077,2013-07-22 13:01:31.600548+00
cdb74387-775e-4752-b3c6-029290d24b00,20075,2013-07-22 13:01:32.028516+00
24f8927a-3b08-4b75-853c-3b1ede12e4b8,20059,2013-07-22 13:01:32.246127+00
f40f54b8-cc8f-4e8a-b184-f6725648295e,14082,2013-07-22 13:01:32.490079+00
a6952ab3-684d-48da-a0d3-be574fb7f77c,14086,2013-07-22 13:01:32.770918+00
3fc7dfa6-1578-4cf3-9f63-b487311fcba6,14089,2013-07-22 13:01:33.013696+00
588c5fce-867a-435e-9e10-318940b644eb,14091,2013-07-22 13:01:33.263021+00
c824f8aa-9e26-40b6-9582-b798cb5d3e29,14906,2013-07-22 13:01:33.720418+00
867b6ef1-237f-4d4d-84d6-41648337f162,14909,2013-07-22 13:01:33.983873+00
9be68aad-f8e6-464d-8cae-0c4eb5352554,14911,2013-07-22 13:01:34.227825+00
e6a0254b-c6c4-41c4-b4f5-56375ebce8a7,14912,2013-07-22 13:01:34.476216+00
6cc96417-87b1-4ed5-a90b-7f60b438ed08,14918,2013-07-22 13:01:34.775318+00
e2ea5611-755c-472a-b701-1583e2a538d0,14921,2013-07-22 13:01:34.997404+00
3fc4b3e1-1b41-4acf-8bbd-3d751d758f6d,17046,2013-07-22 13:01:35.231035+00
a2915522-85ff-4526-8c66-0548822dff48,30079,2013-10-16 11:00:52.599714+00
3ddbd8db-829f-42c4-9655-9a9c720cb033,22153,2013-10-16 20:01:05.048897+00
64a9ccdd-c3bb-4c30-b66c-e4aaef6969e4,12060,2013-10-16 20:01:05.715431+00
75320985-420d-4e88-9fec-3ccef8f5a78d,22291,2013-10-16 20:01:06.045942+00
1f5efe13-44fd-419d-a583-f985b4b2cef7,8031,2013-10-16 20:01:06.458004+00
ceecf98a-3683-474c-88c0-53964649bc13,8077,2013-10-16 20:01:06.764938+00
bf282dc2-0158-4ddb-a17e-596d1b2cddc6,8645,2013-10-16 20:01:07.005236+00
3482bd7b-6777-49ab-a75b-c47372f2277f,7412,2013-10-16 20:01:07.313299+00
e978e1f5-d742-4542-af49-98954478e890,8042,2013-10-16 20:01:07.64049+00
9706fc93-7067-4fab-8d08-7e41e3399ca4,8911,2013-10-16 20:01:07.929343+00
cd33e0f7-9f6f-4495-94f5-dfc0249f140a,26699,2013-11-05 00:01:12.911851+00
6a7a1693-d947-4d6f-bdea-b795220053b0,26395,2013-11-06 11:00:23.108019+00
41fe33f6-86ce-4d7e-8309-2085ca88b3f8,73605,2013-11-13 01:00:27.572244+00
e88ecb50-542f-4c4f-b50b-8807c67269b1,73615,2013-11-16 17:00:17.170985+00
1feba812-e0cf-49e4-b9fc-7008c3598faf,73614,2013-11-16 17:00:17.651416+00
d3b7b965-3f10-47ac-a96b-547dba1294d1,73712,2013-12-02 19:00:16.284217+00
da7b5de7-40e4-46fd-830f-884673b1f0c3,82249,2013-12-07 12:00:21.398193+00
a608c0f8-d411-4b49-8f5c-809b6cd293d0,87880,2013-12-09 18:00:51.347331+00
f0a8e8ca-be48-4015-a346-975165458de3,82042,2013-12-09 18:00:52.490083+00
52556728-86b4-491b-8680-d304b8b738a8,29512,2014-01-07 02:00:32.301205+00
bb57bfc7-8d27-404a-946c-d87014f83754,89505,2014-03-05 22:01:28.946182+00
