id,gid,name,comment,type,ordering_attribute,ordering_type,edits_pending,last_updated
57,7adf110f-01a2-431a-ad8f-ce806cf950a4,Thematic and Bibliographical Catalogue of P. I. Čajkovskij's Works,,5,788,1,0,2014-05-15 15:54:31.35327+00
117,204363b2-4ee9-4e39-94f3-4a04047c2cba,Suomirokkia,,1,788,1,0,2014-05-15 11:50:46.010463+00
184,33870419-68d9-4ff9-bdbf-08b093e9498c,Immortal,Amiga game music,1,788,1,0,2014-05-15 16:34:53.964633+00
193,10475f90-d7f0-457f-86fb-a7e6ad18ac14,Berceau de l’Amérique,,1,788,1,0,2014-05-15 17:01:56.424799+00
3,c8fc6f9e-faa6-4eca-bf13-92b1c3f5c5c4,World Music Library,1999,2,788,1,0,2014-05-14 18:28:59.030601+00
209,171cd0eb-e80f-4307-832c-8014a3a30057,Extreme Störfrequenz,,1,788,1,0,2014-05-15 20:46:26.994866+00
43,c2529feb-2e34-43f5-a558-aba8ae6a5f74,Back in Time,C64 game music,1,788,1,0,2014-05-14 18:28:59.030601+00
21,2b529732-7af6-4c43-8421-be0f537befe5,Progstravaganza,,1,788,1,0,2014-05-14 18:28:59.030601+00
195,5434632b-4d3a-4ddb-b1e9-0e544b8f03d4,WBOS: Live From the Archives,,1,788,1,0,2014-05-15 17:17:47.739878+00
216,a7572be4-a816-4b41-96ec-ec6f0017204c,Zwischenfall,,1,788,1,0,2014-05-15 21:42:26.091569+00
197,53d24813-c131-4279-83aa-7b4b80c6b5b1,Die ultimative Chart Show,,1,788,1,0,2014-05-15 17:47:34.24312+00
213,e538cac1-2edd-4f8c-ab9b-5bb88826fefa,Darkness Before Dawn,,1,788,1,0,2014-05-15 21:34:43.965296+00
204,5a971acb-25ee-4656-b1f7-89a6c8d84403,Grand Prix,Deutsche Grammophon,2,788,1,0,2014-05-15 20:26:42.563164+00
207,885637fc-7866-4469-be44-0fc7da6f6d5a,Extreme Lustlieder,,1,788,1,0,2014-05-15 20:42:49.19803+00
211,d8c60699-83bf-422c-b1e1-027adb102125,Extreme Clubhits,,1,788,1,0,2014-05-15 21:14:35.004187+00
2585,8dbf520a-5e46-4792-be00-a37f0b6c77b5,Everlasting Summer,,1,788,1,0,2014-12-19 03:09:57.314115+00
219,096c110a-e0f4-4628-b3f4-46c7bbf8458b,Great Recordings of the Century,EMI Classics,2,788,1,0,2014-06-16 05:55:39.468431+00
218,fca6246a-cad0-49da-9568-a1c18880f1f2,The Romantic Violin Concerto,,2,788,1,0,2014-05-15 21:49:27.275782+00
217,179d751d-a626-4b77-b46d-e718ff4a55b0,Aderlass,,1,788,1,0,2014-05-15 21:46:21.66518+00
20,cca669ca-ff26-4691-a7b7-879474b405f2,Ethnic Sound Collection,,2,788,1,0,2014-07-05 01:44:44.030146+00
149,682e8ea1-0264-4235-886a-cfa2e3f868cb,Kultaiset rock-klassikot,,2,788,1,0,2015-01-24 20:19:00.088298+00
96,0790fa51-15d9-40a2-bca9-9c8eaaa96bef,Buxtehude-Werke-Verzeichnis,,5,788,1,0,2014-05-21 03:21:11.182103+00
224,4410ce68-99e3-4dc7-b44a-2a156465f432,The Very Best of the 80's,2 volumes per year,1,788,1,0,2014-05-15 22:22:12.295923+00
111,bb96de5e-2d32-4f22-af8a-2fb1ac83030e,GUNGRAVE,,1,788,1,0,2014-05-19 06:37:06.836933+00
