id,work,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
47828,2140951,"Piano Sonata No. 2 in G-sharp minor, Op.19 ""Sonata-Fantasy"": II. Presto",\N,0,2012-05-30 14:00:10.985773+00,\N,"Piano Sonata No. 2 in G-sharp minor, Op.19 ""Sonata-Fantasy"": II. Presto",\N,\N,\N,\N,\N,\N,f,f
94386,12651837,Millennium Song,\N,0,2015-05-18 20:20:47.539229+00,1,Millennium Song,\N,\N,\N,\N,\N,\N,f,f
47829,9478786,"Piano Sonata No. 5 in F-sharp major, Op. 53: Allegro. Prestro con allegrezza. Meno vivo. Prestissimo",\N,0,2012-05-30 14:00:11.429303+00,\N,"Piano Sonata No. 5 in F-sharp major, Op. 53: Allegro. Prestro con allegrezza. Meno vivo. Prestissimo",\N,\N,\N,\N,\N,\N,f,f
47830,9478786,"Piano Sonata No. 5 in F-sharp major, Op. 53: Allegro imperioso - Con stravaganza - Languid - Presto con allegrezza",\N,0,2012-05-30 14:00:11.429303+00,\N,"Piano Sonata No. 5 in F-sharp major, Op. 53: Allegro imperioso - Con stravaganza - Languid - Presto con allegrezza",\N,\N,\N,\N,\N,\N,f,f
95278,12855642,時の管理者,ja,0,2015-07-09 09:56:49.110945+00,1,時の管理者,\N,\N,\N,\N,\N,\N,t,f
47498,1171334,I Ran (So Far Away),\N,0,2012-05-30 20:00:15.962174+00,1,I Ran (So Far Away),\N,\N,\N,\N,\N,\N,f,f
47499,12495741,Mei Muatterl Was A Weanerin,\N,0,2012-05-30 21:00:12.744542+00,1,My Mother Was a Viennese,\N,\N,\N,\N,\N,\N,f,f
47831,178373,Ich lieb dich,\N,0,2012-05-30 21:06:59.925106+00,\N,Ich lieb dich,\N,\N,\N,\N,\N,\N,f,f
47832,3044906,Das Spiel (Radiomix),\N,0,2012-05-30 21:07:14.622025+00,\N,Das Spiel (Radiomix),\N,\N,\N,\N,\N,\N,f,f
47834,12495849,"Sonata for Piano No. 6 in E minor, D. 566: IV. Rondo. Allegretto",\N,0,2012-05-31 12:00:15.798131+00,\N,"Sonata for Piano No. 6 in E minor, D. 566: IV. Rondo. Allegretto",\N,\N,\N,\N,\N,\N,f,f
47539,7245821,"Auf der Jagd, Op. 373: Polka schnell",\N,0,2012-05-31 13:00:08.58709+00,\N,At the Hunt,\N,\N,\N,\N,\N,\N,f,f
53121,12434356,Tableaux d'une Exposition: Limoges. Le marché (La grande nouvelle),\N,0,2012-10-07 11:06:19.824092+00,\N,Tableaux d'une Exposition: Limoges. Le marché (La grande nouvelle),\N,\N,\N,\N,\N,\N,f,f
47835,6377572,Sie liebt Dich/She Loves You,\N,0,2012-05-31 15:00:08.28858+00,\N,Sie liebt Dich/She Loves You,\N,\N,\N,\N,\N,\N,f,f
47836,2147991,"Piano Sonata No. 6, Op. 62",\N,0,2012-05-31 15:00:11.805277+00,\N,"Piano Sonata No. 6, Op. 62",\N,\N,\N,\N,\N,\N,f,f
47837,2147991,Piano Sonata No.6 Op.62,\N,0,2012-05-31 15:00:11.805277+00,\N,Piano Sonata No.6 Op.62,\N,\N,\N,\N,\N,\N,f,f
47838,2147995,"Piano Sonata No. 10, Op. 70",\N,0,2012-05-31 15:00:12.389663+00,\N,"Piano Sonata No. 10, Op. 70",\N,\N,\N,\N,\N,\N,f,f
47839,2147994,"Piano Sonata No. 9, Op. 68 ""Black Mass""",\N,0,2012-05-31 15:00:12.87788+00,\N,"Piano Sonata No. 9, Op. 68 ""Black Mass""",\N,\N,\N,\N,\N,\N,f,f
47840,12500741,Part,\N,0,2012-05-31 21:59:08.116032+00,\N,Part,\N,\N,\N,\N,\N,\N,f,f
53097,10435599,Orfeo ed Euridice: Atto II. Danza degli spiriti beati,it,0,2012-10-06 04:27:26.923579+00,\N,Orfeo ed Euridice: Atto II. Danza degli spiriti beati,\N,\N,\N,\N,\N,\N,f,f
55104,233525,L'hôtel particulier (Stratus remix),\N,0,2013-01-03 14:17:31.988886+00,\N,L'hôtel particulier (Stratus remix),\N,\N,\N,\N,\N,\N,f,f
53106,12533151,"Concert Fantasy for Piano and Orchestra, op. 56",\N,0,2012-10-21 10:00:07.165463+00,2,"Concert Fantasy for Piano and Orchestra, op. 56",\N,\N,\N,\N,\N,\N,f,f
53122,12434354,Tableaux d'une Exposition: Samuel Goldenberg and Schmuyle,\N,0,2012-10-07 11:06:20.044048+00,\N,Tableaux d'une Exposition: Samuel Goldenberg and Schmuyle,\N,\N,\N,\N,\N,\N,f,f
53104,9229639,You Got Me Running,en,0,2012-10-06 11:05:35.26275+00,1,You Got Me Running,\N,\N,\N,\N,\N,\N,f,f
53109,12489038,Pictures at an Exhibition (Leopold Stokowski orchestration): Promenade - Gnome,\N,0,2012-10-07 11:06:16.940657+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): Promenade - Gnome,\N,\N,\N,\N,\N,\N,f,f
53110,12489039,Pictures at an Exhibition (Leopold Stokowski orchestration): Promenade - The old castle,\N,0,2012-10-07 11:06:17.536448+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): Promenade - The old castle,\N,\N,\N,\N,\N,\N,f,f
53111,12489044,Pictures at an Exhibition (Leopold Stokowski orchestration): Bydlo,\N,0,2012-10-07 11:06:17.752249+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): Bydlo,\N,\N,\N,\N,\N,\N,f,f
53112,12489040,Pictures at an Exhibition (Leopold Stokowski orchestration): Promenade - Ballet of the unhatched chicks,\N,0,2012-10-07 11:06:17.896224+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): Promenade - Ballet of the unhatched chicks,\N,\N,\N,\N,\N,\N,f,f
53113,2196141,Pictures at an Exhibition (Leopold Stokowski orchestration): Samuel Goldenberg and Schmuyle,\N,0,2012-10-07 11:06:18.061508+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): Samuel Goldenberg and Schmuyle,\N,\N,\N,\N,\N,\N,f,f
53114,12489043,Pictures at an Exhibition (Leopold Stokowski orchestration): Catacombs,\N,0,2012-10-07 11:06:18.288344+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): Catacombs,\N,\N,\N,\N,\N,\N,f,f
48000,12501526,Unutamıyorum Unutamıyorum Gecem Yok Artık Gündüzüm Yok,tr,0,2012-06-19 01:00:10.079374+00,\N,Unutamıyorum Unutamıyorum Gecem Yok Artık Gündüzüm Yok,\N,\N,\N,\N,\N,\N,t,f
48020,5887573,Belief,\N,0,2012-06-19 16:00:12.305164+00,\N,Belief,\N,\N,\N,\N,\N,\N,f,f
53115,12489042,Pictures at an Exhibition (Leopold Stokowski orchestration): The hut on fowl's legs,\N,0,2012-10-07 11:06:18.573187+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): The hut on fowl's legs,\N,\N,\N,\N,\N,\N,f,f
53116,12489041,Pictures at an Exhibition (Leopold Stokowski orchestration): The great gate of Kiev,\N,0,2012-10-07 11:06:18.683269+00,\N,Pictures at an Exhibition (Leopold Stokowski orchestration): The great gate of Kiev,\N,\N,\N,\N,\N,\N,f,f
53117,12434346,Tableaux d'une Exposition: Gnomus,\N,0,2012-10-07 11:06:18.817454+00,\N,Tableaux d'une Exposition: Gnomus,\N,\N,\N,\N,\N,\N,f,f
53118,12434359,Tableaux d'une Exposition: La grande porte de Kiev,\N,0,2012-10-07 11:06:19.26147+00,\N,Tableaux d'une Exposition: La grande porte de Kiev,\N,\N,\N,\N,\N,\N,f,f
53119,12434357,Tableaux d'une Exposition: Catacombæ. Sepulcrum romanum,\N,0,2012-10-07 11:06:19.520424+00,\N,Tableaux d'une Exposition: Catacombæ. Sepulcrum romanum,\N,\N,\N,\N,\N,\N,f,f
53120,12434357,Tableaux d'une Exposition: Cum mortius in lingua mortua,\N,0,2012-10-07 11:06:19.520424+00,\N,Tableaux d'une Exposition: Cum mortius in lingua mortua,\N,\N,\N,\N,\N,\N,f,f
53123,12434353,Tableaux d'une Exposition: Ballet de poussins dans leur coque,\N,0,2012-10-07 11:06:20.253386+00,\N,Tableaux d'une Exposition: Ballet de poussins dans leur coque,\N,\N,\N,\N,\N,\N,f,f
