id,release,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
79,1590969,Suuns and Jerusalem In My Heart,\N,0,2015-05-25 16:03:32.243033+00,\N,Suuns and Jerusalem In My Heart,\N,\N,\N,\N,\N,\N,f,f
80,563339,A Day in Da Life Experience: The Album,\N,0,2015-05-26 02:19:04.585341+00,1,The Day In Da Life Ex-Perience- the Album,2007,6,4,\N,\N,\N,f,f
81,803332,Vol. 49-Chopin Nocturnes,\N,0,2015-05-26 07:01:18.521734+00,\N,Vol. 49-Chopin Nocturnes,\N,\N,\N,\N,\N,\N,f,f
82,1363298,"Mach's gut, Spaßtal",\N,0,2015-05-26 18:00:50.495982+00,\N,"Mach's gut, Spaßtal",\N,\N,\N,\N,\N,\N,f,f
83,1086253,Bollani Carioca,\N,0,2015-05-26 19:00:20.159962+00,\N,Bollani Carioca,\N,\N,\N,\N,\N,\N,f,f
84,586943,Solace / Greatdayforup,\N,0,2015-05-26 20:02:21.938007+00,\N,Solace / Greatdayforup,\N,\N,\N,\N,\N,\N,f,f
85,1303559,"Symphonies Nos. 5 & 8 / Overture, Op. 72b ""Fidelio"" (Berliner Philharmoniker feat. conductor: Herbert von Karajan)",\N,0,2015-05-26 21:00:38.017731+00,\N,"Symphonies Nos. 5 & 8 / Overture, Op. 72b ""Fidelio"" (Berliner Philharmoniker feat. conductor: Herbert von Karajan)",\N,\N,\N,\N,\N,\N,f,f
86,1573996,By a Thread / Waterdown,\N,0,2015-05-26 21:02:38.459442+00,\N,By a Thread / Waterdown,\N,\N,\N,\N,\N,\N,f,f
87,663627,"Préludes, Livre 2 / Images, Livre 2",\N,0,2015-05-26 23:02:02.73662+00,\N,"Préludes, Livre 2 / Images, Livre 2",\N,\N,\N,\N,\N,\N,f,f
88,1611405,Las No 1,\N,0,2015-05-27 04:16:50.305382+00,1,Las No 1,\N,\N,\N,\N,\N,\N,f,f
89,1013495,The Best of X-Trax (disc 2),\N,0,2015-05-27 09:03:09.493379+00,\N,The Best of X-Trax (disc 2),\N,\N,\N,\N,\N,\N,f,f
90,685131,Ameriques/Symphony No.4/The Unanswered Question,\N,0,2015-05-27 09:03:15.194876+00,\N,Ameriques/Symphony No.4/The Unanswered Question,\N,\N,\N,\N,\N,\N,f,f
91,631614,Fever To Tell,\N,0,2015-05-28 17:02:18.571232+00,\N,Fever To Tell,\N,\N,\N,\N,\N,\N,f,f
92,1035934,Princess Tea Party,\N,0,2015-05-29 01:55:57.003494+00,\N,Princess Tea Party,\N,\N,\N,\N,\N,\N,f,f
93,1555576,Junior Songfestival 2009,\N,0,2015-05-29 06:01:34.958904+00,\N,Junior Songfestival 2009,\N,\N,\N,\N,\N,\N,f,f
94,1260563,PARTY PEOPLE,\N,0,2015-05-29 14:02:50.990887+00,\N,PARTY PEOPLE,\N,\N,\N,\N,\N,\N,f,f
95,1433854,The Piano Sonatas: Recordings: 1951 -1956,en,0,2015-05-29 18:45:50.551745+00,1,"Piano Sonatas, The: Recordings: 1951 -1956",\N,\N,\N,\N,\N,\N,t,f
96,1163538,Cello Sonatas (disc 2),\N,0,2015-05-29 20:04:22.911156+00,\N,Cello Sonatas (disc 2),\N,\N,\N,\N,\N,\N,f,f
97,1396157,The Ladder (bonus disc),\N,0,2015-05-29 22:00:30.855879+00,\N,The Ladder (bonus disc),\N,\N,\N,\N,\N,\N,f,f
98,1304018,LCD Soundsystem (disc 2),\N,0,2015-05-29 22:01:09.619401+00,\N,LCD Soundsystem (disc 2),\N,\N,\N,\N,\N,\N,f,f
99,608805,Brain Salad Surgery (bonus disc),\N,0,2015-05-29 22:01:15.306868+00,\N,Brain Salad Surgery (bonus disc),\N,\N,\N,\N,\N,\N,f,f
