id,area,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
56,227,Vatikanstadt,de,0,2013-05-27 12:18:20.834419+00,\N,Vatikanstadt,\N,\N,\N,\N,\N,\N,t,f
57,227,Βατικανό,el,0,2013-05-27 12:18:24.111128+00,\N,Βατικανό,\N,\N,\N,\N,\N,\N,t,f
58,227,Vatican City,en,0,2013-05-27 12:18:29.915464+00,\N,Vatican City,\N,\N,\N,\N,\N,\N,t,f
59,227,Ciudad del Vaticano,es,0,2013-05-27 12:18:35.862719+00,\N,Ciudad del Vaticano,\N,\N,\N,\N,\N,\N,t,f
63,227,Città del Vaticano,it,0,2013-05-27 12:18:49.330661+00,\N,Città del Vaticano,\N,\N,\N,\N,\N,\N,t,f
61,227,Vatikaanivaltio,fi,0,2013-05-27 12:18:41.6872+00,\N,Vatikaanivaltio,\N,\N,\N,\N,\N,\N,t,f
65,227,Vaticaanstad,nl,0,2013-05-27 12:18:54.857844+00,\N,Vaticaanstad,\N,\N,\N,\N,\N,\N,t,f
64,227,バチカン,ja,0,2013-05-27 12:18:52.03201+00,\N,バチカン,\N,\N,\N,\N,\N,\N,t,f
67,31,Britisches Territorium im Indischen Ozean,de,0,2013-05-27 12:19:00.594096+00,\N,Britisches Territorium im Indischen Ozean,\N,\N,\N,\N,\N,\N,t,f
66,227,Vatikanstaten,no,0,2013-05-27 12:18:57.424174+00,\N,Vatikanstaten,\N,\N,\N,\N,\N,\N,t,f
68,31,Βρετανικό Έδαφος Ινδικού Ωκεανού,el,0,2013-05-27 12:19:02.85365+00,\N,Βρετανικό Έδαφος Ινδικού Ωκεανού,\N,\N,\N,\N,\N,\N,t,f
69,31,British Indian Ocean Territory,en,0,2013-05-27 12:19:05.498644+00,\N,British Indian Ocean Territory,\N,\N,\N,\N,\N,\N,t,f
70,31,Territorio Británico del Océano Índico,es,0,2013-05-27 12:19:07.736144+00,\N,Territorio Británico del Océano Índico,\N,\N,\N,\N,\N,\N,t,f
71,31,Briti India ookeani ala,et,0,2013-05-27 12:19:10.299395+00,\N,Briti India ookeani ala,\N,\N,\N,\N,\N,\N,t,f
8348,2395,Oblast Brjansk,nl,0,2013-06-05 08:13:19.333995+00,1,Oblast Brjansk,\N,\N,\N,\N,\N,\N,t,f
72,31,Brittiläinen Intian valtameren alue,fi,0,2013-05-27 12:19:15.397623+00,\N,Brittiläinen Intian valtameren alue,\N,\N,\N,\N,\N,\N,t,f
29,222,USA,\N,0,2013-06-15 18:06:39.59323+00,3,USA,\N,\N,\N,\N,\N,\N,f,f
78,15,Aserbaidschan,de,0,2013-05-27 12:19:32.589394+00,\N,Aserbaidschan,\N,\N,\N,\N,\N,\N,t,f
73,31,Territoire britannique de l'océan Indien,fr,0,2013-05-27 12:19:20.094159+00,\N,Territoire britannique de l'océan Indien,\N,\N,\N,\N,\N,\N,t,f
483,14,Oostenrijk,nl,0,2013-05-27 12:35:38.476692+00,\N,Oostenrijk,\N,\N,\N,\N,\N,\N,t,f
74,31,Territorio britannico dell'oceano Indiano,it,0,2013-05-27 12:19:22.351891+00,\N,Territorio britannico dell'oceano Indiano,\N,\N,\N,\N,\N,\N,t,f
16778,4044,Rrethi i Kukësit,sq,0,2013-11-01 16:21:33.40985+00,1,Rrethi i Kukësit,\N,\N,\N,\N,\N,\N,t,f
15304,3217,Cuvette,ln,0,2013-11-01 10:18:26.113758+00,1,Cuvette,\N,\N,\N,\N,\N,\N,t,f
20823,9536,भूज,mr,0,2013-11-02 20:26:22.539187+00,1,भूज,\N,\N,\N,\N,\N,\N,t,f
