id,event,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
666,2361,東方紅楼夢11,ja,0,2015-01-28 08:54:06.395477+00,1,東方紅楼夢11,\N,\N,\N,\N,\N,\N,t,f
674,2362,ジャパン アミューズメント エキスポ 2015,ja,0,2015-01-29 23:16:42.688963+00,1,ジャパン アミューズメント エキスポ 2015,\N,\N,\N,\N,\N,\N,f,f
609,2180,JF15,\N,0,2015-01-07 21:12:21.417836+00,\N,JF15,\N,\N,\N,\N,\N,\N,f,f
611,2196,Montreal International Jazz Festival 2006,en,0,2015-01-12 00:00:52.315199+00,1,Montreal International Jazz Festival 2006,\N,\N,\N,\N,\N,\N,f,f
676,2362,JAEPO 2015,\N,0,2015-02-15 19:52:39.715262+00,\N,JAEPO 2015,\N,\N,\N,\N,\N,\N,f,f
637,205,コミックマーケット84 3日目,\N,0,2015-01-13 13:11:38.221056+00,\N,コミックマーケット84 3日目,\N,\N,\N,\N,\N,\N,f,f
638,243,ComiComi 7,\N,0,2015-01-14 07:15:27.213569+00,2,ComiComi 7,\N,\N,\N,\N,\N,\N,f,f
639,2266,コミックマーケット88,ja,0,2015-01-15 07:22:00.63596+00,1,コミックマーケット88,\N,\N,\N,\N,\N,\N,t,f
544,219,Comiket 86 Day 3,\N,0,2015-01-15 07:25:00.334066+00,2,Comiket 86 Day 3,\N,\N,\N,\N,\N,\N,f,f
677,2764,1897 BBC Prom 29,\N,0,2015-02-28 14:01:01.282627+00,\N,1897 BBC Prom 29,\N,\N,\N,\N,\N,\N,f,f
681,3659,Men and Women Glee Club Concert,\N,0,2015-05-05 11:16:43.793777+00,\N,Men and Women Glee Club Concert,\N,\N,\N,\N,\N,\N,f,f
682,3659,"SJSU Spring Choral Concert feat. Men's & Women's Glee Clubs, Pitch, Please! and The Spartones",\N,0,2015-05-06 06:11:00.802859+00,2,"SJSU Spring Choral Concert feat. Men's & Women's Glee Clubs, Pitch, Please! and The Spartones",\N,\N,\N,\N,\N,\N,f,f
685,3915,WGT 2015,\N,0,2015-05-15 10:19:46.066991+00,2,WGT 2015,\N,\N,\N,\N,\N,\N,f,f
26,153,Hakurei Shrine Reitaisai 2,en,0,2014-11-17 23:04:47.124855+00,\N,Hakurei Shrine Reitaisai 2,\N,\N,\N,\N,\N,\N,t,f
27,153,Reitaisai 2,\N,0,2014-11-17 23:04:56.987564+00,\N,Reitaisai 2,\N,\N,\N,\N,\N,\N,f,f
684,220,例大祭12,ja,0,2015-07-06 03:01:07.423306+00,1,れいたいさい12,\N,\N,\N,\N,\N,\N,f,f
28,154,大⑨州東方祭2,ja,0,2014-11-17 23:05:20.602336+00,\N,大⑨州東方祭2,\N,\N,\N,\N,\N,\N,t,f
209,225,コミックマーケット63,ja,0,2014-11-18 00:04:08.951289+00,\N,コミックマーケット63,\N,\N,\N,\N,\N,\N,t,f
29,154,Dai-Kyuu-Shuu Touhousai 2,en,0,2014-11-17 23:05:28.928407+00,\N,Dai-Kyuu-Shuu Touhousai 2,\N,\N,\N,\N,\N,\N,t,f
30,155,サンシャインクリエイション30,ja,0,2014-11-17 23:05:54.424954+00,\N,サンシャインクリエイション30,\N,\N,\N,\N,\N,\N,t,f
543,1984,Tokyo Game Show 2014,en,0,2014-12-19 13:52:29.633306+00,1,Tokyo Game Show 2014,\N,\N,\N,\N,\N,\N,t,f
31,155,Sunshine Creation 30,en,0,2014-11-17 23:06:03.309613+00,\N,Sunshine Creation 30,\N,\N,\N,\N,\N,\N,t,f
210,225,Comic Market 63,en,0,2014-11-18 00:04:17.749527+00,\N,Comic Market 63,\N,\N,\N,\N,\N,\N,t,f
33,157,こみっく★トレジャー14,ja,0,2014-11-17 23:07:10.660933+00,\N,こみっく★トレジャー14,\N,\N,\N,\N,\N,\N,t,f
35,158,東方幻楽祭,ja,0,2014-11-17 23:08:31.698369+00,\N,東方幻楽祭,\N,\N,\N,\N,\N,\N,t,f
37,159,月の宴3,ja,0,2014-11-17 23:09:18.952554+00,\N,月の宴3,\N,\N,\N,\N,\N,\N,t,f
217,227,コミックマーケット62,ja,0,2014-11-18 00:05:39.131468+00,\N,コミックマーケット62,\N,\N,\N,\N,\N,\N,t,f
39,160,月の宴,ja,0,2014-11-17 23:09:55.52604+00,\N,月の宴,\N,\N,\N,\N,\N,\N,t,f
610,2180,Jump Festa '15,\N,0,2015-01-07 21:12:46.529894+00,\N,Jump Festa '15,\N,\N,\N,\N,\N,\N,f,f
223,228,C61,\N,0,2014-11-18 00:06:40.859514+00,\N,C61,\N,\N,\N,\N,\N,\N,f,f
41,144,M3-2011春,ja,0,2014-11-17 23:10:38.131477+00,1,M3-2011春,\N,\N,\N,\N,\N,\N,t,f
687,220,第十二回 博麗神社例大祭,\N,0,2015-07-06 03:01:07.423306+00,1,第十二回 博麗神社例大祭,\N,\N,\N,\N,\N,\N,f,f
14,144,M3-2011 Spring,en,0,2014-11-17 23:11:06.501385+00,1,M3-2011 Spring,\N,\N,\N,\N,\N,\N,t,f
226,229,Comic Market 60,en,0,2014-11-18 00:07:17.804125+00,\N,Comic Market 60,\N,\N,\N,\N,\N,\N,t,f
43,161,Touhou Tokyousou 2,en,0,2014-11-17 23:11:31.762475+00,\N,Touhou Tokyousou 2,\N,\N,\N,\N,\N,\N,t,f
45,162,Touhou Sikokusai,en,0,2014-11-17 23:12:19.13979+00,\N,Touhou Sikokusai,\N,\N,\N,\N,\N,\N,t,f
48,164,博麗神社例大祭（第1回）,ja,0,2014-11-17 23:13:59.383401+00,\N,博麗神社例大祭（第1回）,\N,\N,\N,\N,\N,\N,t,f
227,229,C60,\N,0,2014-11-18 00:07:26.69914+00,\N,C60,\N,\N,\N,\N,\N,\N,f,f
50,164,Hakurei Shrine Reitaisai 1,en,0,2014-11-17 23:14:17.99417+00,\N,Hakurei Shrine Reitaisai 1,\N,\N,\N,\N,\N,\N,t,f
52,165,幽明櫻,ja,0,2014-11-17 23:14:49.344075+00,\N,幽明櫻,\N,\N,\N,\N,\N,\N,t,f
613,2200,M3-1999 Fall,en,0,2015-01-12 12:47:30.327722+00,1,M3-1999 Fall,\N,\N,\N,\N,\N,\N,t,f
54,167,小春小径,ja,0,2014-11-17 23:19:22.199319+00,\N,小春小径,\N,\N,\N,\N,\N,\N,t,f
233,232,コミックマーケット58,ja,0,2014-11-18 00:08:33.953246+00,\N,コミックマーケット58,\N,\N,\N,\N,\N,\N,t,f
56,168,東方不敗小町2,ja,0,2014-11-17 23:20:09.680684+00,\N,東方不敗小町2,\N,\N,\N,\N,\N,\N,t,f
