id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,label_code,type,area,comment,edits_pending,last_updated,ended
32,01635848-98af-4a1e-989a-14ca8a9f5946,Deadred Records,2000,\N,\N,\N,\N,\N,\N,4,189,,0,\N,f
35698,c76f825c-f8cb-4aa2-b239-e6a99a0604b2,Plainisphare,1982,\N,\N,\N,\N,\N,1267,4,203,,0,2009-04-20 17:50:05.232552+00,f
33214,e568b920-c6f4-4308-9458-e571dd5add05,Carrote Production,\N,\N,\N,\N,\N,\N,\N,\N,73,,0,2009-01-26 08:45:57.086655+00,f
1507,1900f59f-883d-41e7-8728-d0e6b73c0322,Product Recordings,\N,\N,\N,\N,\N,\N,\N,\N,221,,0,\N,f
55,7df8aecd-9852-4fe5-9f13-4ee435ac7afb,Exegene,2004,9,1,\N,\N,\N,\N,4,221,,0,\N,f
4216,82cebef5-8566-4b16-8a1e-b26c28c0efea,Error Records,\N,\N,\N,\N,\N,\N,\N,4,176,,0,\N,f
99468,af479368-50df-44c4-a93a-7781869fc013,Odyssey,\N,\N,\N,\N,\N,\N,\N,9,107,Japanese CBS/Sony label,0,2015-01-25 04:01:53.724496+00,t
28678,171c086d-6a2c-4005-b605-e8abc7b6a1bf,Start Records Ltd,\N,\N,\N,\N,\N,\N,\N,7,221,,0,\N,f
37,9f9be871-d020-4b62-9638-d833a287fb87,Candlelight Records USA,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
6879,b61702cb-27ac-4fc6-9b61-b89dcfad2e66,Erol Köse Prodüksiyon,\N,\N,\N,\N,\N,\N,\N,3,214,,0,\N,f
8212,4ea7e2b7-4369-4d49-be00-579e5f99a884,Ytterbium,\N,\N,\N,\N,\N,\N,\N,4,73,,0,\N,f
20421,438f41a0-2c40-4b19-b71c-0168d7338c2a,Urania Records,\N,\N,\N,\N,\N,\N,\N,4,\N,50a & 60s classical & jazz label,0,\N,f
40,4efc2f7c-17f8-44a1-9f71-7130a834f9ea,Bin Liner,\N,\N,\N,\N,\N,\N,\N,3,221,,0,\N,f
41345,938c0074-95ff-4af9-b999-d568bd74342e,Crest,\N,\N,\N,\N,\N,\N,\N,4,222,,0,2009-11-02 02:39:45.903682+00,f
3634,8ebb6296-e522-4a06-813c-94465a946001,Level Records,\N,\N,\N,\N,\N,\N,\N,4,81,,0,\N,f
921,34f3e6cd-2a31-405b-a556-4c38e4bde44d,Metro Recordings,\N,\N,\N,\N,\N,\N,\N,4,221,"UK drum & bass, Matrix's label, MTRR cat #s",0,\N,f
21423,31165d15-ff19-49e0-ba22-487c1f8de4c7,Euphoria Records,\N,\N,\N,\N,\N,\N,\N,4,222,,0,\N,f
43,17fdb4f5-a4bc-421a-8c1d-07535b068440,Gammafon,\N,\N,\N,\N,\N,\N,\N,\N,202,,0,\N,f
3306,4c1d9e9c-75f2-4ada-ac13-8af6b39492cb,Dance Electric,\N,\N,\N,\N,\N,\N,\N,4,81,,0,\N,f
9463,72a1e1bb-8c00-466e-a412-ed038f771d79,Du Mamutai,\N,\N,\N,\N,\N,\N,\N,\N,123,,0,\N,f
45,898f6a73-aa1e-4628-8605-7cb98be3c59c,Giant Electric Pea,\N,\N,\N,\N,\N,\N,\N,4,221,,0,\N,f
37251,83f21946-8572-47f5-b5a7-2aaf1e599144,Swarming,\N,\N,\N,\N,\N,\N,\N,4,73,,0,2009-06-13 06:45:47.301306+00,f
7809,3d990f04-6530-416f-a534-ee8a93501f39,Neoteric Music,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
3642,f659eb96-bb90-42c4-8c83-82a859556154,The Medicine Label,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
463,d434a4ad-f604-499f-b608-4272a7f762e5,Bama Rags Records,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
50210,47357069-1a09-4a67-8e03-8ebc10dfaa1d,West Audio Productions,2001,1,\N,\N,\N,\N,\N,3,160,,0,2010-09-02 11:29:59.30283+00,f
51,2d699049-bded-40d8-9dbd-87336b40c5d2,Holycaust Records,\N,\N,\N,\N,\N,\N,\N,\N,222,,0,\N,f
