id,recording,name,locale,edits_pending,last_updated,type,sort_name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,primary_for_locale,ended
63,4283417,Parsifal: Dritter Aufzug. Vorspiel,\N,0,2015-05-18 21:17:28.36403+00,\N,Parsifal: Dritter Aufzug. Vorspiel,\N,\N,\N,\N,\N,\N,f,f
64,4283418,"Parsifal: Dritter Aufzug. ""Von dorther kam das Stöhnen!"" (Gurnemanz, Kundry)",\N,0,2015-05-18 21:17:31.023004+00,\N,"Parsifal: Dritter Aufzug. ""Von dorther kam das Stöhnen!"" (Gurnemanz, Kundry)",\N,\N,\N,\N,\N,\N,f,f
65,4283419,"Parsifal: Dritter Aufzug. ""Heil dir, mein Gast!"" (Gurnemanz)",\N,0,2015-05-18 21:17:33.560992+00,\N,"Parsifal: Dritter Aufzug. ""Heil dir, mein Gast!"" (Gurnemanz)",\N,\N,\N,\N,\N,\N,f,f
66,4283420,"Parsifal: Dritter Aufzug. ""Heil mir, daß ich dich wiederfinde!"" (Parsifal, Gurnemanz)",\N,0,2015-05-18 21:17:35.990312+00,\N,"Parsifal: Dritter Aufzug. ""Heil mir, daß ich dich wiederfinde!"" (Parsifal, Gurnemanz)",\N,\N,\N,\N,\N,\N,f,f
67,4283421,"Parsifal: Dritter Aufzug. ""O Herr! War es ein Fluch, der dich vom rechten Pfad vertrieb"" (Gurnemanz, Parsifal)",\N,0,2015-05-18 21:17:38.582178+00,\N,"Parsifal: Dritter Aufzug. ""O Herr! War es ein Fluch, der dich vom rechten Pfad vertrieb"" (Gurnemanz, Parsifal)",\N,\N,\N,\N,\N,\N,f,f
68,4283422,"Parsifal: Dritter Aufzug. ""Nicht so! - Die heil'ge Quelle selbst erquicje unsrer Pilgers Bad"" (Gurnemanz, Parsifal)",\N,0,2015-05-18 21:17:41.025636+00,\N,"Parsifal: Dritter Aufzug. ""Nicht so! - Die heil'ge Quelle selbst erquicje unsrer Pilgers Bad"" (Gurnemanz, Parsifal)",\N,\N,\N,\N,\N,\N,f,f
69,4283423,"Parsifal: Dritter Aufzug. ""Gesegnet sei, du Reiner, durch das Reine!"" (Karfreitgszauber) (Gurnemanz, Parsifal)",\N,0,2015-05-18 21:17:43.471134+00,\N,"Parsifal: Dritter Aufzug. ""Gesegnet sei, du Reiner, durch das Reine!"" (Karfreitgszauber) (Gurnemanz, Parsifal)",\N,\N,\N,\N,\N,\N,f,f
70,4283424,"Parsifal: Dritter Aufzug. ""Du siehst, das ist nicht so"" (Gurnemanz, Parsifal)",\N,0,2015-05-18 21:17:46.012111+00,\N,"Parsifal: Dritter Aufzug. ""Du siehst, das ist nicht so"" (Gurnemanz, Parsifal)",\N,\N,\N,\N,\N,\N,f,f
71,4283425,"Parsifal: Dritter Aufzug. ""Mittag - Die Stund' ist da!"" (Gurnemanz)",\N,0,2015-05-18 21:17:48.529646+00,\N,"Parsifal: Dritter Aufzug. ""Mittag - Die Stund' ist da!"" (Gurnemanz)",\N,\N,\N,\N,\N,\N,f,f
72,4283426,"Parsifal: Dritter Aufzug. ""Geleiten wir m bergenden Schrein den Garl zum heiligen Amte"" (Die Ritter)",\N,0,2015-05-18 21:17:51.15945+00,\N,"Parsifal: Dritter Aufzug. ""Geleiten wir m bergenden Schrein den Garl zum heiligen Amte"" (Die Ritter)",\N,\N,\N,\N,\N,\N,f,f
