id,gid,name,type,edits_pending,last_updated,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,ended,comment
9014,ead4ef80-c243-47f8-8c41-c0740c879233,Pu'er,3,0,2014-11-17 23:53:58.372377+00,\N,\N,\N,\N,\N,\N,f,
55,a75b525f-8c01-31f6-975e-4a32a2b001d5,Cyprus,1,0,2013-05-27 13:27:25.827473+00,\N,\N,\N,\N,\N,\N,f,
20,660e3c48-b301-3c8c-9708-0f71d5d094d6,Belarus,1,0,2013-05-27 13:28:17.680898+00,\N,\N,\N,\N,\N,\N,f,
57,4757b525-2a60-324a-b060-578765d2c993,Denmark,1,0,2013-05-27 13:28:43.191347+00,\N,\N,\N,\N,\N,\N,f,
9,2a8cc14f-8d47-389b-b54d-e94312b23d27,Antigua and Barbuda,1,0,2013-05-27 13:33:01.557289+00,\N,\N,\N,\N,\N,\N,f,
49,185bc3c4-4c5a-3f69-9384-7c280dfdf072,Congo,1,0,2013-05-27 13:33:26.945494+00,\N,\N,\N,\N,\N,\N,f,
35,bd96f09c-c2a8-3996-b52f-291521b688c0,Burundi,1,0,2013-05-27 13:37:01.521955+00,\N,\N,\N,\N,\N,\N,f,
30,f45b47f8-5796-386e-b172-6c31b009a5d8,Brazil,1,0,2013-05-27 13:41:42.305399+00,\N,\N,\N,\N,\N,\N,f,
1,aa95182f-df0a-3ad6-8bfb-4b63482cd276,Afghanistan,1,0,2013-05-27 13:39:07.101747+00,\N,\N,\N,\N,\N,\N,f,
64,f2fa4bfb-97aa-3db4-8d49-cc64969ce1a7,El Salvador,1,0,2013-05-27 13:45:13.036353+00,\N,\N,\N,\N,\N,\N,f,
7,eed9e8bb-b48f-30af-95f5-f178762ee515,Anguilla,1,0,2013-05-27 13:43:29.596932+00,\N,\N,\N,\N,\N,\N,f,
45,5bc803ff-c3f9-3c36-a7d6-80bc1ab4a34e,Christmas Island,1,0,2013-05-27 13:44:20.053903+00,\N,\N,\N,\N,\N,\N,f,
40,5dd25184-711c-3e6a-b089-572cd095f287,Cayman Islands,1,0,2013-05-27 13:46:29.19575+00,\N,\N,\N,\N,\N,\N,f,
6,2afd5d6a-5fee-3836-8783-44d0ec9ac115,Angola,1,0,2013-05-27 13:47:19.728195+00,\N,\N,\N,\N,\N,\N,f,
11,6474fa20-e0d6-3ef2-95ce-a6f73408cd5e,Armenia,1,0,2013-05-27 13:48:36.887064+00,\N,\N,\N,\N,\N,\N,f,
46,3df32a28-e4b2-3c27-a85e-328e3f978bc5,Cocos (Keeling) Islands,1,0,2013-05-27 13:52:03.585119+00,\N,\N,\N,\N,\N,\N,f,
48,f8002d93-3b43-3bb7-84dd-4766ff7e5b3b,Comoros,1,0,2013-05-27 14:00:52.320006+00,\N,\N,\N,\N,\N,\N,f,
68,96699ab4-4bbf-332e-b037-b0119821f792,Ethiopia,1,0,2013-05-27 14:01:27.105081+00,\N,\N,\N,\N,\N,\N,f,
53,7d30afff-e425-356a-873e-17ae9745b31d,Croatia,1,0,2013-05-27 14:01:56.368039+00,\N,\N,\N,\N,\N,\N,f,
59,9898ec17-2174-3a61-9e3b-3f51b3ee4de1,Dominica,1,0,2013-05-27 14:04:29.908581+00,\N,\N,\N,\N,\N,\N,f,
10,0df04709-c7d8-3b55-a6ea-f3e5069a947b,Argentina,1,0,2013-05-27 14:05:48.558955+00,\N,\N,\N,\N,\N,\N,f,
62,967abc0e-f680-3cde-95d0-0b79b977d410,Ecuador,1,0,2013-05-27 13:54:42.343004+00,\N,\N,\N,\N,\N,\N,f,
80,7e081aa0-817b-3ae0-9fe2-4bb4e3b3cc95,Georgia,1,0,2013-05-27 14:06:39.501383+00,\N,\N,\N,\N,\N,\N,f,
230,8562c2e5-eabb-3fad-96f2-f536a93a2957,British Virgin Islands,1,0,2013-05-29 00:26:40.698634+00,\N,\N,\N,\N,\N,\N,f,
69,baa270d6-bb10-38d1-87bd-42a82b4efa9c,Falkland Islands,1,0,2013-05-29 09:01:28.335799+00,\N,\N,\N,\N,\N,\N,f,
8195,9c983568-4241-403a-ba2d-d3e52f38c8df,Milford,3,0,2013-05-30 19:14:40.838183+00,\N,\N,\N,\N,\N,\N,f,
8558,c0e35db4-0214-4bc7-ac3a-57e59aefe216,Hill,3,0,2013-06-01 15:40:37.320861+00,\N,\N,\N,\N,\N,\N,f,
41,863f49fc-16d0-3fa8-beae-242fc8ab114b,Central African Republic,1,0,2013-06-05 05:06:53.479845+00,\N,\N,\N,\N,\N,\N,f,
13703,5b7d6fe3-9f1d-4436-ae4d-7be08084fdd6,Montecatini Val di Cecina,4,0,2013-07-21 16:53:54.496144+00,\N,\N,\N,\N,\N,\N,f,
14309,809096dd-8f87-48a9-a35b-97bfcfb2eda9,Casale Monferrato,4,0,2013-07-21 19:09:26.057882+00,\N,\N,\N,\N,\N,\N,f,
14324,df4c4543-2c9e-423a-9b7e-3aeffe7c0d49,Palazzo Pignano,4,0,2013-07-21 19:12:42.690894+00,\N,\N,\N,\N,\N,\N,f,
14332,e0daf36c-19cb-452a-aa5b-6d1e1aefd1ac,Maccastorna,4,0,2013-07-21 19:14:24.568367+00,\N,\N,\N,\N,\N,\N,f,
115503,a2365c34-98e9-42e0-a385-0ea06e598cc0,Mardin,3,0,2015-05-28 16:57:06.657126+00,\N,\N,\N,\N,\N,\N,f,
8060,bf4ebf62-f9b3-4376-8a07-92ffb499cddf,Maldon,3,0,2013-11-04 12:50:12.722144+00,\N,\N,\N,\N,\N,\N,f,
1969,d62f1770-b24f-41e1-b598-1a45f042b759,Dravograd,2,0,2013-11-04 21:57:20.546883+00,\N,\N,\N,\N,\N,\N,f,
8187,f71eb55a-7ac2-431c-bfa8-1779de8b26bb,Serik,3,0,2013-11-04 16:16:50.479318+00,\N,\N,\N,\N,\N,\N,f,
8375,95ac13f9-b5a6-47c8-b354-5817465fefb8,Dobříš,3,0,2013-11-04 21:52:37.705334+00,\N,\N,\N,\N,\N,\N,f,
7571,fabee7b7-9123-4f22-86fc-33d1a01478f5,Braunfels,3,0,2013-11-05 09:21:00.771491+00,\N,\N,\N,\N,\N,\N,f,
14883,1a987c3e-a8e2-4064-832e-56f8f06c531a,Cerretto Langhe,4,0,2013-07-21 21:19:10.040041+00,\N,\N,\N,\N,\N,\N,f,
88334,72ef044b-9688-4a24-844c-4428e84c9e14,Descanso,3,0,2014-01-06 21:52:11.220924+00,\N,\N,\N,\N,\N,\N,f,
221,8a754a16-0027-3a29-b6d7-2b40ea0481ed,United Kingdom,1,0,2013-05-16 11:06:19.67235+00,\N,\N,\N,\N,\N,\N,f,
15450,4f5a694b-413f-43ff-bdeb-9450f60a1e50,Configni,4,0,2013-07-21 22:48:09.368711+00,\N,\N,\N,\N,\N,\N,f,
99,d31a9a15-537f-3669-ad53-25753ddd2772,India,1,0,2013-05-27 13:20:45.066389+00,\N,\N,\N,\N,\N,\N,f,
129,305d19c7-c040-349c-8d5f-6ac75d2d2a09,Malaysia,1,0,2013-05-27 13:27:00.060491+00,\N,\N,\N,\N,\N,\N,f,
100,d3a68bd0-7419-3f99-a5bd-204d6e057089,Indonesia,1,0,2013-05-27 13:29:59.731299+00,\N,\N,\N,\N,\N,\N,f,
90,a58af0f8-b238-3da2-a57b-4aa0ff4ab574,Guinea,1,0,2013-05-27 12:38:11.409894+00,\N,\N,\N,\N,\N,\N,f,
128,b4d3ff41-ead2-300f-9c11-f73f8ad39678,Malawi,1,0,2013-05-27 13:12:22.373828+00,\N,\N,\N,\N,\N,\N,f,
132,050c94f7-1413-3a34-bb90-4a94f3bb2084,Malta,1,0,2013-05-27 14:04:55.298367+00,\N,\N,\N,\N,\N,\N,f,
109,92d52542-3363-351c-a8b6-d991e0bccb8f,Kazakhstan,1,0,2013-05-27 12:59:53.107482+00,\N,\N,\N,\N,\N,\N,f,
87,338346f8-4dc2-38e8-a009-5a3e1585348f,Guadeloupe,1,0,2013-05-27 13:17:42.705713+00,\N,\N,\N,\N,\N,\N,f,
155,f27e792b-ddd2-3a70-bdd4-41fb11534b57,Niger,1,0,2013-05-27 12:29:03.299786+00,\N,\N,\N,\N,\N,\N,f,
93,cf25d306-7da5-3878-a2b1-a0370f847308,Haiti,1,0,2013-05-27 12:22:09.525494+00,\N,\N,\N,\N,\N,\N,f,
161,7ccdff29-2e00-3e50-9520-b9ea1e918bc2,Oman,1,0,2013-05-27 12:22:34.648577+00,\N,\N,\N,\N,\N,\N,f,
164,6f85633b-dff4-3fb4-babd-fb89b3628041,Panama,1,0,2013-05-27 12:24:42.68799+00,\N,\N,\N,\N,\N,\N,f,
145,325ce9a0-d58f-3564-b24e-647b33098767,Mozambique,1,0,2013-05-27 12:25:09.054679+00,\N,\N,\N,\N,\N,\N,f,
143,290ea438-1cb6-35e1-9755-6ab123214293,Montserrat,1,0,2013-05-27 12:26:25.710281+00,\N,\N,\N,\N,\N,\N,f,
149,8815c87e-cf3f-362c-a5c6-05ce853a4c79,Nepal,1,0,2013-05-27 12:27:43.489838+00,\N,\N,\N,\N,\N,\N,f,
88,43dd540a-78cd-319f-bab9-214b5430f3f2,Guam,1,0,2013-05-27 12:28:09.532234+00,\N,\N,\N,\N,\N,\N,f,
163,9d800529-1ef8-39bb-9e42-1fa74f2eac97,Palau,1,0,2013-05-27 12:29:28.716821+00,\N,\N,\N,\N,\N,\N,f,
107,2db42837-c832-3c27-b4a3-08198f75693c,Japan,1,0,2013-05-27 12:29:56.162248+00,\N,\N,\N,\N,\N,\N,f,
