id,gid,name,begin_date_year,begin_date_month,begin_date_day,end_date_year,end_date_month,end_date_day,time,type,cancelled,setlist,comment,edits_pending,last_updated,ended
2004,f2ab47e7-d227-47cf-b717-820f56bcb71b,NetAid,1999,10,9,1999,10,9,\N,1,f,,Wembley Stadium,0,2014-12-29 18:01:30.279847+00,t
2585,b893e525-71c6-4734-abb9-781dc51d16b4,The Proms 1961,1961,7,22,1961,9,16,\N,2,f,,,0,2015-02-20 21:11:26.100831+00,t
1986,77e48819-38fb-46e5-935e-305e8ab3142d,David Bowie at Praça da Apoteose,1990,9,20,1990,9,20,\N,1,f,,,0,2015-01-27 01:00:27.129729+00,t
2698,24ce6771-a7c7-4b7f-9837-f32b74954d59,Prom 49 - Last Night of the Proms 1895,1895,10,5,1895,10,5,20:00:00,1,f,,,0,2015-02-21 12:13:42.538818+00,t
2702,c7cb4df1-c3d0-45f4-a741-0a30acd744ad,Prom 03,1896,9,1,1896,9,1,20:00:00,1,f,,,0,2015-02-21 12:31:12.177818+00,t
2904,6d93889c-80a3-4e1e-8941-280c4361c66a,Prom 30,1900,9,28,1900,9,28,20:00:00,1,f,,,0,2015-02-21 14:07:01.780941+00,t
2917,93911a58-720f-467f-afe8-7e0954d8ecfd,Prom 43,1900,10,13,1900,10,13,20:00:00,1,f,,,0,2015-02-21 14:11:59.156467+00,t
3305,089d6824-18cb-4416-9dd0-e74f72d7978c,Night Train to Budapest Farewell Tour,2014,10,15,2014,10,15,20:00:00,1,f,,,0,2015-03-30 17:37:58.826563+00,t
3322,8a2a95fd-5e83-48b2-8c0d-8c8430af366b,"Los Suaves @ Repvblicca, Valencia",2015,4,24,2015,4,24,23:00:00,1,f,,Gira La música termina,0,2015-03-31 06:22:21.143331+00,t
3339,335f765f-64da-4979-ab84-1e2d2873d0db,"Ennio Morricone ""My Life in Music"", König-Pilsener-Arena",2015,3,26,2015,3,26,20:00:00,1,f,,,0,2015-04-01 17:55:25.081048+00,t
