gid,new_id,created
68becc69-ca18-4bb5-839a-3a3d99c25665,47,2014-11-18 15:02:03.254354+00
fe60af76-f22a-465d-bca2-6e6f716ddbec,167,2014-11-18 15:02:03.458306+00
a1281e87-21a8-4670-8fab-7be496eb41d7,79,2014-11-18 16:01:52.845517+00
2d566d18-a174-4e21-89a4-cb749825655a,668,2014-11-18 20:02:10.962456+00
eceb936c-25e3-47ba-8519-b3ad14e171bd,137,2014-11-25 15:01:10.698663+00
3f8d7f27-3447-44f8-84f2-0f79a6bc6944,125,2014-11-25 17:00:30.876306+00
c59840b1-3931-48c1-a0ff-5711944818de,342,2014-11-25 21:01:38.525428+00
ba5b9195-eb52-4a64-a070-a34e805648c0,630,2014-11-26 00:00:18.963759+00
412e9989-805a-420e-8d8a-f660fbaf634e,630,2014-11-26 00:00:18.963759+00
a68ff3aa-f1ec-4d4a-ae21-ce8bb666ec68,9,2014-11-26 10:00:28.942325+00
b5241691-2fbf-4e4a-b524-b70166750b95,579,2014-11-26 11:00:30.223332+00
febcf4c2-2b8d-44a2-86dc-051e84a1039c,579,2014-11-26 11:00:30.223332+00
1870c3b1-42cd-47b2-99ff-c6b759faa5cf,555,2014-11-26 11:00:48.307113+00
1c6c5831-df17-441c-9b8c-4c62369cd829,339,2014-11-26 11:00:48.552414+00
f0b7c321-816e-47ed-893b-8fd4126c5aba,339,2014-11-26 11:00:48.552414+00
11317744-fe47-4c79-a263-c2389bf4515c,339,2014-11-26 11:00:48.552414+00
9699897e-52df-4db3-877c-36a8690ad9f3,339,2014-11-26 11:00:48.552414+00
85b8fb2b-4f94-4e61-93e0-cc3d9ca5920f,339,2014-11-26 11:00:48.552414+00
c9142aa1-2c0f-4516-a900-acd44c228139,339,2014-11-26 11:00:48.552414+00
7c4bbf17-31ce-45e1-990e-10b645bd8847,503,2014-11-26 11:00:54.85912+00
4c086905-ccda-4beb-a743-c5ba876c7eeb,503,2014-11-26 11:00:54.85912+00
efa47169-8d18-43d2-b1fb-f6f3cf65439b,505,2014-11-26 11:01:00.265972+00
c02a88c3-2a5c-460b-bacc-44105caaa258,505,2014-11-26 11:01:00.265972+00
ffeb38e8-0605-4da2-83b8-ed155e76fdc1,442,2014-11-26 11:01:31.011282+00
e733ea0c-6a12-4738-90bb-11460353f66e,806,2014-11-27 13:01:34.571791+00
1811fdf9-8056-4a0f-8725-b2bd79712deb,467,2014-11-29 01:02:01.057708+00
59a7edf2-4bbc-4661-a1ec-47f9a5bf8e3a,1057,2014-11-29 01:02:01.282638+00
